6521.00159 	0.9971206
6521.02295 	0.9964615
6521.04431 	0.9951274
6521.06567 	0.9931946
6521.08704 	0.9910844
6521.10840 	0.9893067
6521.12976 	0.9881607
6521.15112 	0.9880165
6521.17249 	0.9890795
6521.19385 	0.9911232
6521.21521 	0.9937444
6521.23657 	0.9962845
6521.25793 	0.9980088
6521.27930 	0.9986109
6521.30066 	0.9981407
6521.32202 	0.9969287
6521.34338 	0.9950318
6521.36475 	0.9930374
6521.38611 	0.9913025
6521.40747 	0.990288
6521.42883 	0.9903675
6521.45020 	0.9912937
6521.47156 	0.9924945
6521.49292 	0.9933226
6521.51428 	0.9935384
6521.53564 	0.9934043
6521.55701 	0.993237
6521.57837 	0.9932803
6521.59973 	0.9934543
6521.62109 	0.9935143
6521.64246 	0.9933733
6521.66382 	0.9929619
6521.68518 	0.9922935
6521.70654 	0.991191
6521.72791 	0.9895967
6521.74927 	0.9877545
6521.77063 	0.9858175
6521.79199 	0.9842818
6521.81335 	0.9833739
6521.83472 	0.9830769
6521.85608 	0.9831274
6521.87744 	0.9831888
6521.89880 	0.9828441
6521.92017 	0.9819676
6521.94153 	0.9806508
6521.96289 	0.9790835
6521.98425 	0.9775357
6522.00562 	0.9759896
6522.02698 	0.9743279
6522.04834 	0.9725912
6522.06970 	0.9708517
6522.09106 	0.9695315
6522.11243 	0.9690902
6522.13379 	0.9695389
6522.15515 	0.9707278
6522.17651 	0.9718805
6522.19788 	0.9727243
6522.21924 	0.9732499
6522.24060 	0.9736626
6522.26196 	0.9743448
6522.28333 	0.9752724
6522.30469 	0.9763568
6522.32605 	0.9774414
6522.34741 	0.9786921
6522.36877 	0.9803213
6522.39014 	0.9820153
6522.41150 	0.9834741
6522.43286 	0.9844056
6522.45422 	0.9848793
6522.47559 	0.9851847
6522.49695 	0.985786
6522.51831 	0.9869935
6522.53967 	0.9885764
6522.56104 	0.9900467
6522.58240 	0.9907612
6522.60376 	0.9904704
6522.62512 	0.9893606
6522.64648 	0.9880866
6522.66785 	0.9873281
6522.68921 	0.9869772
6522.71057 	0.9868147
6522.73193 	0.9865323
6522.75330 	0.9863794
6522.77466 	0.986762
