#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1058,R SCT,000-BCD-304,2460548.64765,5.308,0.003,False,Johnson V,CCD,MSD,1.238,True
1059,R SCT,000-BCD-304,2460549.31664,6.704,0.022,False,Johnson B,CCD,TJV,1.599,False
1060,R SCT,000-BCD-304,2460550.64896,6.662,0.003,False,Johnson B,CCD,MSD,1.241,True
1061,R SCT,000-BCD-304,2460550.65118,5.272,0.003,False,Johnson V,CCD,MSD,1.242,True
1062,R SCT,000-BCD-304,2460552.64686,6.675,0.003,False,Johnson B,CCD,MSD,1.243,True
1063,R SCT,000-BCD-304,2460552.64892,5.260,0.003,False,Johnson V,CCD,MSD,1.244,True
1064,R SCT,000-BCD-304,2460561.33425,6.551,0.302,False,Johnson B,CCD,TJV,1.527,False
1065,R SCT,000-BCD-304,2460561.63720,6.763,0.003,False,Johnson B,CCD,MSD,1.260,True
1066,R SCT,000-BCD-304,2460561.63921,5.334,0.003,False,Johnson V,CCD,MSD,1.263,True
1067,R SCT,000-BCD-304,2460562.63214,6.789,0.003,False,Johnson B,CCD,MSD,1.257,True
1068,R SCT,000-BCD-304,2460562.63425,5.346,0.003,False,Johnson V,CCD,MSD,1.259,True
1069,R Sct,000-BCD-304,2460563.3181,5.48,0.03,False,Johnson V,DSLR,CTIA,1.6,True
1070,R Sct,000-BCD-304,2460563.3181,6.93,0.06,False,Johnson B,DSLR,CTIA,1.6,True
1071,R SCT,000-BCD-304,2460564.70683,6.843,0.003,False,Johnson B,CCD,MSD,1.613,True
1072,R SCT,000-BCD-304,2460564.70892,5.362,0.003,False,Johnson V,CCD,MSD,1.625,True
1073,R SCT,000-BCD-304,2460565.62946,6.877,0.003,False,Johnson B,CCD,MSD,1.266,True
1074,R SCT,000-BCD-304,2460565.63154,5.443,0.003,False,Johnson V,CCD,MSD,1.268,True
1075,R SCT,000-BCD-304,2460566.71422,6.937,0.004,False,Johnson B,CCD,MSD,1.740,True
1076,R SCT,000-BCD-304,2460566.71644,5.474,0.004,False,Johnson V,CCD,MSD,1.756,True
1077,R SCT,000-BCD-304,2460568.31297,6.738,0.281,False,Johnson B,CCD,TJV,1.526,False
1078,R SCT,000-BCD-304,2460568.60439,6.910,0.003,False,Johnson B,CCD,MSD,1.244,True
1079,R SCT,000-BCD-304,2460568.60644,5.483,0.003,False,Johnson V,CCD,MSD,1.245,True
1080,R SCT,000-BCD-304,2460569.60405,6.968,0.003,False,Johnson B,CCD,MSD,1.246,True
1081,R SCT,000-BCD-304,2460569.60626,5.523,0.003,False,Johnson V,CCD,MSD,1.248,True
1082,R SCT,000-BCD-304,2460570.64301,6.965,0.003,False,Johnson B,CCD,MSD,1.336,True
1083,R SCT,000-BCD-304,2460570.64507,5.503,0.003,False,Johnson V,CCD,MSD,1.342,True
