jd,time,mag,band,ra,dec,angDist,src_table,time_col_name,time_scale
2451541.0,277.0,16.567,r,69.37603388888888,1.1044149999999997,0.12657429158447736,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,11.321,r,69.19497388888888,0.9330738888888888,0.1296160548139575,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,13.292,r,69.25793166666665,0.8781022222222221,0.12984405741187235,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,17.41,r,69.20387888888888,1.079086111111111,0.13095287521527305,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,16.368,r,69.35311833333333,1.1224702777777775,0.13243559025735216,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,16.851,r,69.29822055555555,1.1327872222222222,0.1347444600406597,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,17.187,r,69.19898638888888,0.916751111111111,0.13533124681344993,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,14.058,r,69.39660888888888,0.8964738888888888,0.13566504998746715,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.769,r,69.190625,0.9235077777777776,0.13832271799785953,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,15.712,r,69.1760025,1.0433013888888887,0.1384658837236627,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,15.401,r,69.41189333333332,0.9077338888888887,0.13860232105384548,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,16.753,r,69.19276833333332,1.0794866666666665,0.1400972037644413,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,15.66,r,69.26657805555554,0.8638091666666665,0.14045394517509924,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,15.719,r,69.44360416666666,0.965073611111111,0.14059155010159266,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
